SKU_ID,Revenue_Rank,Category,Segment,ABC_Class,XYZ_Class,Total_Revenue,Revenue_Pct,Total_Units,Stockout_Rate_Pct,CV,Priority_Flag,Recommended_Zone,Adj_Safety_Stock,Adj_Reorder_Point,Primary_Warehouse,Cumulative_Revenue_Pct
IND-001303,1,Industrial,AY,A,Y,598357687.4,3.0769,86251,4.06,0.4164,Critical,Prime Pick-Face,130,626,DHL-WH-NJ01,3.0769
IND-001883,2,Industrial,AY,A,Y,429694626.92,2.2096,84037,3.46,0.6004,Critical,Prime Pick-Face,326,144,DHL-WH-NJ01,5.2865
IND-001037,3,Industrial,AX,A,X,344166110.68,1.7698,69827,2.2,0.17,Critical,Prime Pick-Face,382,502,DHL-WH-NJ01,7.0563
IND-001261,4,Industrial,AY,A,Y,311587919.82,1.6023,50499,3.18,0.5967,Critical,Prime Pick-Face,92,498,DHL-WH-NJ01,8.6586
IND-001890,5,Industrial,AY,A,Y,280513255.22,1.4425,87917,2.43,0.5981,Critical,Prime Pick-Face,88,240,DHL-WH-TX03,10.1011
IND-001325,6,Industrial,AX,A,X,257265521.64,1.3229,63942,2.32,0.158,Critical,Prime Pick-Face,309,299,DHL-WH-IL02,11.424
IND-000471,7,Industrial,AY,A,Y,231262640.2,1.1892,42283,3.09,0.3978,Critical,Prime Pick-Face,42,318,DHL-WH-TX03,12.6132
ELC-001206,8,Consumer Electronics,AY,A,Y,228999430.88,1.1776,87076,2.84,0.4625,Critical,Prime Pick-Face,418,928,DHL-WH-IL02,13.7908
IND-000101,9,Industrial,AY,A,Y,208585444.9,1.0726,76790,3.03,0.395,Critical,Prime Pick-Face,184,813,DHL-WH-NJ01,14.8634
ELC-001589,10,Consumer Electronics,AY,A,Y,192565382.4,0.9902,75168,1.82,0.6068,Critical,Prime Pick-Face,514,830,DHL-WH-NJ01,15.8536
PHM-001636,11,Pharmaceutical,AY,A,Y,190129640.88,0.9777,91108,3.56,0.6185,Critical,Prime Pick-Face,186,400,DHL-WH-TX03,16.8313
ELC-000637,12,Consumer Electronics,AY,A,Y,189765153.58,0.9758,73103,2.24,0.4338,Critical,Prime Pick-Face,240,458,DHL-WH-NJ01,17.8071
ELC-001525,13,Consumer Electronics,AY,A,Y,189593984.25,0.9749,68937,2.34,0.4662,Critical,Prime Pick-Face,560,910,DHL-WH-IL02,18.782
IND-001675,14,Industrial,AY,A,Y,183702372.81,0.9447,31911,3.04,0.5783,Critical,Prime Pick-Face,50,152,DHL-WH-TX03,19.7267
ELC-001047,15,Consumer Electronics,AX,A,X,180019373.8,0.9257,64463,3.44,0.2421,Critical,Prime Pick-Face,18,593,DHL-WH-TX03,20.6524
IND-001213,16,Industrial,AX,A,X,180018622.01,0.9257,66961,3.02,0.1681,Critical,Prime Pick-Face,240,584,DHL-WH-TX03,21.5781
PHM-001441,17,Pharmaceutical,AY,A,Y,165225254.62,0.8496,83014,2.02,0.3971,Critical,Prime Pick-Face,390,256,DHL-WH-NJ01,22.4277
ELC-001554,18,Consumer Electronics,AX,A,X,165074825.3,0.8489,87970,3.34,0.2787,Critical,Prime Pick-Face,264,478,DHL-WH-IL02,23.2766
ELC-001950,19,Consumer Electronics,AY,A,Y,163982975.26,0.8432,96298,4.57,0.6179,Critical,Prime Pick-Face,584,762,DHL-WH-IL02,24.1198
ELC-000355,20,Consumer Electronics,AY,A,Y,160589854.8,0.8258,59448,3.14,0.4262,Critical,Prime Pick-Face,198,142,DHL-WH-NJ01,24.9456
AUT-000977,21,Automotive,AY,A,Y,156993367.2,0.8073,78755,2.31,0.5901,Critical,Prime Pick-Face,390,282,DHL-WH-NJ01,25.7529
ELC-000903,22,Consumer Electronics,AY,A,Y,153763129.44,0.7907,88938,3.12,0.438,Critical,Prime Pick-Face,374,248,DHL-WH-NJ01,26.5436
ELC-000629,23,Consumer Electronics,AY,A,Y,150596866.98,0.7744,91049,3.46,0.3284,Critical,Prime Pick-Face,106,502,DHL-WH-NJ01,27.318
PHM-001293,24,Pharmaceutical,AX,A,X,147199598.4,0.7569,71931,2.47,0.1653,Critical,Prime Pick-Face,50,157,DHL-WH-IL02,28.0749
ELC-001979,25,Consumer Electronics,AX,A,X,145573258.88,0.7486,91456,3.25,0.2679,Critical,Prime Pick-Face,345,114,DHL-WH-IL02,28.8235
ELC-001499,26,Consumer Electronics,AY,A,Y,143330538.56,0.737,83204,2.02,0.6132,Critical,Prime Pick-Face,88,262,DHL-WH-IL02,29.5605
IND-001449,27,Industrial,AX,A,X,142980372.7,0.7352,42130,2.64,0.164,Critical,Prime Pick-Face,429,686,DHL-WH-TX03,30.2957
PHM-000201,28,Pharmaceutical,AX,A,X,142292089.44,0.7317,79539,2.62,0.1656,Critical,Prime Pick-Face,40,424,DHL-WH-NJ01,31.0274
AUT-000378,29,Automotive,AY,A,Y,140279664.8,0.7214,81790,2.88,0.4158,Critical,Prime Pick-Face,26,181,DHL-WH-TX03,31.7488
ELC-000205,30,Consumer Electronics,AY,A,Y,139353909.03,0.7166,63181,3.91,0.4003,Critical,Prime Pick-Face,302,40,DHL-WH-IL02,32.4654
